h_geoid,wm_overall,wm_1_2,wm_3,obs_overall,obs_1_2,obs_3
24031701216,13.324,14.029,13.023,902.1,269.717,632.383
24031701218,13.754,14.252,13.462,703.017,259.65,443.367
24031701219,14.331,14.401,14.271,697.35,320.367,376.983
24031701220,14.77,15.343,14.537,664.117,191.9,472.217
24031701221,16.272,16.882,16.011,726.117,217.783,508.333
24031701303,17.103,18.179,16.627,685.65,210.217,475.433
24031701304,22.073,22.962,21.671,873.517,271.767,601.75
24031701306,20.302,21.727,19.591,648.55,216.05,432.5
24031701307,20.701,21.701,20.163,777.033,271.517,505.517
24031701308,19.273,20.231,18.723,711.083,259.5,451.583
24031701312,20.876,21.777,20.425,1007.75,336.1,671.65
24031701313,19.748,20.433,19.31,781,304.967,476.033
24031701314,20.627,21.442,20.125,677.65,258.3,419.35
24031701315,20.962,21.728,20.586,805.9,265.283,540.617
24031701316,21.437,22.741,20.796,887.533,292.8,594.733
24031701317,23.697,24.282,23.363,727.6,264.517,463.083
24031701407,17.072,18.663,16.36,1033.5,319.3,714.2
24031701408,19.299,21.179,18.485,882.5,266.833,615.667
24031701409,18.397,20.438,17.505,744.583,226.45,518.133
24031701410,18.762,19.125,18.549,1221.767,452.083,769.683
24031701414,15.471,16.087,15.085,1217.75,468.517,749.233
24031701415,15.957,16.252,15.78,1250.65,468.733,781.917
24031701417,15.865,16.278,15.633,1163.067,417.35,745.717
24031701418,15.62,15.932,15.439,758.45,277.967,480.483
24031701420,16.18,16.194,16.17,938.25,403.717,534.533
24031701421,13.722,13.311,14.111,403.517,196.05,207.467
24031701422,16.477,15.47,17.695,662.867,362.933,299.933
24031701423,17.313,17.443,17.213,875.917,379.7,496.217
24031701503,14.728,16.021,13.844,1162.133,472.2,689.933
24031701505,12.174,12.458,11.967,1396.633,588.233,808.4
24031701506,14.119,14.812,13.734,1111.483,397.2,714.283
24031701507,15.784,17.228,15.2,981.117,282.467,698.65
24031701508,13.166,12.626,13.679,854.217,416.133,438.083
24031701509,12.697,12.164,13.326,1206.617,653.783,552.833
24031701601,11.585,11.109,12.166,550.683,302.4,248.283
24031701602,11.968,11.837,12.181,1026.333,635.067,391.267
24031701701,7.934,8.277,7.783,1219.967,373.883,846.083
24031701702,9.415,9.11,9.725,759.233,383.133,376.1
24031701703,9.026,8.76,9.223,1107.133,471.333,635.8
24031701704,8.435,9.162,8.047,996.65,346.4,650.25
24031701800,8.04,7.669,8.31,1564.283,659.25,905.033
24031701900,9.89,10.179,9.625,821.733,391.9,429.833
24031702000,10.534,10.011,11.352,993.6,605.95,387.65
24031702101,10.734,10.19,11.456,1205.883,687.517,518.367
24031702102,11.519,13.078,10.913,827.35,231.783,595.567
24031702200,10.329,11.23,9.947,1154.1,344.233,809.867
24031702301,10.047,9.589,10.507,963.55,482.567,480.983
24031702302,9.897,9.928,9.871,1230.1,568.233,661.867
24031702401,9.384,10.5,8.843,916.733,298.883,617.85
24031702402,8.701,8.735,8.676,1406.517,602.867,803.65
24031702500,8.075,8.536,7.814,1802.267,651.717,1150.55
24031702601,8.076,8.645,7.786,1510.2,509.267,1000.933
24031702602,8.978,9.18,8.836,1455.9,601.35,854.55
24031702700,9.628,10.552,9.03,1565.083,615,950.083
24031702800,9.569,11.145,8.985,1552.617,419.717,1132.9
24031702900,9.991,12.128,9.194,1491.9,405.217,1086.683
24031703000,11.486,12.238,11.127,655.117,211.933,443.183
24031703100,12.292,12.998,11.848,1029.3,397.383,631.917
24031703201,15.38,15.982,15.03,1027.05,377.183,649.867
24031703202,16.112,16.87,15.743,922.017,302.183,619.833
24031703206,14.356,14.452,14.303,834.783,298.917,535.867
24031703207,13.85,13.634,14.065,964.183,480.583,483.6
24031703208,13.253,14.404,12.711,1031.483,330.217,701.267
